"subjs" "conds" "trial" "choice" "rt"
"1" 1 1 1 1 0.73571060923487
"2" 1 1 2 1 0.416676291995216
"3" 1 1 3 1 0.537780188930687
"4" 1 1 4 1 0.593493720043451
"5" 1 1 5 1 0.650433917109855
"6" 1 1 6 1 0.474622308957856
"7" 1 1 7 1 0.372293057827279
"8" 1 1 8 0 2.57013112916285
"9" 1 1 9 0 1.33492284562532
"10" 1 1 10 1 0.839668232019059
"11" 1 1 11 1 0.709052995837759
"12" 1 1 12 1 0.53247146268934
"13" 1 1 13 1 1.6564775926061
"14" 1 1 14 1 2.06491456803167
"15" 1 1 15 1 0.57743284584675
"16" 1 1 16 0 1.70379597732425
"17" 1 1 17 1 0.597833729978185
"18" 1 1 18 0 0.457923490627203
"19" 1 1 19 1 0.409095567942131
"20" 1 1 20 0 0.612508995442186
"21" 1 1 21 1 0.491086097463034
"22" 1 1 22 0 1.00156166003784
"23" 1 1 23 0 1.26027554026246
"24" 1 1 24 1 0.590210923268925
"25" 1 1 25 1 0.688727837812621
"26" 1 1 26 0 0.708422430657782
"27" 1 1 27 0 0.573086169727147
"28" 1 1 28 1 0.959716254342813
"29" 1 1 29 1 0.462619924993254
"30" 1 1 30 1 0.329300088414457
"31" 1 1 31 1 1.4738121688012
"32" 1 1 32 1 0.366266403400339
"33" 1 1 33 1 0.490432369984686
"34" 1 1 34 1 0.518720052550547
"35" 1 1 35 1 0.513475493755657
"36" 1 1 36 1 0.661107996040024
"37" 1 1 37 1 0.361521662930958
"38" 1 1 38 1 1.93584625435015
"39" 1 1 39 1 0.372491455096286
"40" 1 1 40 1 0.61417221823521
"41" 1 1 41 0 4.25424015919911
"42" 1 1 42 1 0.338416342037264
"43" 1 1 43 1 0.345739290148485
"44" 1 1 44 1 0.385154953296762
"45" 1 1 45 1 0.380262785054278
"46" 1 1 46 0 1.03703299035784
"47" 1 1 47 1 0.80602674784977
"48" 1 1 48 1 0.354113061631098
"49" 1 1 49 0 0.602150519392453
"50" 1 1 50 1 0.710777802848723
"51" 1 1 51 1 3.97705675780214
"52" 1 1 52 1 0.373784229646902
"53" 1 1 53 1 0.829764455060009
"54" 1 1 54 1 0.299101218981668
"55" 1 1 55 1 0.54807296779519
"56" 1 1 56 1 0.42792960465746
"57" 1 1 57 1 0.468701418105979
"58" 1 1 58 1 0.960180133504327
"59" 1 1 59 1 0.927622088942677
"60" 1 1 60 1 1.45139571516961
"61" 1 1 61 1 0.318255545844324
"62" 1 1 62 1 0.353332635451574
"63" 1 1 63 1 0.672399669847451
"64" 1 1 64 1 0.579740409003105
"65" 1 1 65 1 0.406801996620838
"66" 1 1 66 1 0.63688346693432
"67" 1 1 67 0 1.59629581969697
"68" 1 1 68 1 1.29080345171923
"69" 1 1 69 0 0.459465400792193
"70" 1 1 70 1 1.69562911642762
"71" 1 1 71 1 0.482899147713557
"72" 1 1 72 1 0.396155238930136
"73" 1 1 73 1 0.430504732771777
"74" 1 1 74 1 0.341272738947999
"75" 1 1 75 1 2.09234187367978
"76" 1 1 76 1 0.604389325686265
"77" 1 1 77 1 0.68335863193823
"78" 1 1 78 0 0.857500597941224
"79" 1 1 79 1 0.362961035727523
"80" 1 1 80 1 1.26676964707952
"81" 1 1 81 1 0.512227380663622
"82" 1 1 82 0 1.13760451758979
"83" 1 1 83 1 1.75661129835155
"84" 1 1 84 1 0.488646796456073
"85" 1 1 85 1 1.91867977078725
"86" 1 1 86 1 0.451583778141532
"87" 1 1 87 1 0.459626017875038
"88" 1 1 88 1 0.452921434041113
"89" 1 1 89 0 0.701629770072643
"90" 1 1 90 0 0.847186317265965
"91" 1 1 91 1 0.409426307685208
"92" 1 1 92 1 0.48169487354951
"93" 1 1 93 1 0.310362280064728
"94" 1 1 94 1 0.731543575891294
"95" 1 1 95 1 2.80947244143765
"96" 1 1 96 0 1.67537290682411
"97" 1 1 97 1 0.979663880183827
"98" 1 1 98 1 0.282595448240172
"99" 1 1 99 1 0.522573713639285
"100" 1 1 100 0 1.21469304567063
"101" 1 1 101 1 0.496050587435719
"102" 1 1 102 0 0.427655784234405
"103" 1 1 103 1 0.470629528394435
"104" 1 1 104 1 2.63054147300636
"105" 1 1 105 1 0.327471829242539
"106" 1 1 106 1 0.454004511347972
"107" 1 1 107 1 1.3292926977044
"108" 1 1 108 0 0.446804297997151
"109" 1 1 109 1 0.403828926155344
"110" 1 1 110 1 1.30830386653263
"111" 1 1 111 1 0.418789968343452
