"subjs" "group" "conds" "trial" "choice" "rt"
"1" 1 1 1 1 1 0.335944046539487
"2" 1 1 1 2 0 0.960928073619492
"3" 1 1 1 3 1 0.723413366830675
"4" 1 1 1 4 1 0.857395609619329
"5" 1 1 1 5 1 0.62612592568202
"6" 1 1 1 6 1 0.514565745478729
"7" 1 1 1 7 1 0.582966565940762
"8" 1 1 1 8 1 0.591776817217935
"9" 1 1 1 9 0 0.507484896938782
"10" 1 1 1 10 1 0.923236815893324
"11" 1 1 1 11 0 0.306598363639787
"12" 1 1 1 12 1 1.23769391169841
"13" 1 1 1 13 1 0.761284464976517
"14" 1 1 1 14 1 1.552519680175
"15" 1 1 1 15 1 0.436523836135399
"16" 1 1 1 16 0 3.03367810855969
"17" 1 1 1 17 1 0.580098773187492
"18" 1 1 1 18 1 1.29789099987224
"19" 1 1 1 19 1 0.535662551835412
"20" 1 1 1 20 0 0.444753897156334
"21" 1 1 1 21 1 0.502454668364488
"22" 1 1 1 22 1 0.555312853874872
"23" 1 1 1 23 1 1.16079437796772
"24" 1 1 1 24 1 0.857812291132053
"25" 1 1 1 25 1 0.822254885684466
"26" 1 1 1 26 1 0.961277907563374
"27" 1 1 1 27 1 1.73625042613875
"28" 1 1 1 28 1 2.21955642780149
"29" 1 1 1 29 1 0.726595826823497
"30" 1 1 1 30 1 2.53538247713144
"31" 1 1 1 31 1 0.429467746505281
"32" 1 1 1 32 1 1.66950344494614
"33" 1 1 1 33 0 0.670599613612285
"34" 1 1 1 34 0 0.455153038310818
"35" 1 1 1 35 1 0.321276546369772
"36" 1 1 1 36 1 1.28358455843572
"37" 1 1 1 37 1 1.77454971231776
"38" 1 1 1 38 1 0.831805232068058
"39" 1 1 1 39 1 0.961265960518038
"40" 1 1 1 40 1 0.750176256335573
"41" 1 1 1 41 1 0.872942220318597
"42" 1 1 1 42 1 1.43252133035776
"43" 1 1 1 43 1 1.02383935692511
"44" 1 1 1 44 0 0.999779058568645
"45" 1 1 1 45 1 2.05943505992251
"46" 1 1 1 46 1 0.710189967390616
"47" 1 1 1 47 1 0.365718480612617
"48" 1 1 1 48 1 0.592244435566478
"49" 1 1 1 49 1 0.501046325010248
"50" 1 1 1 50 0 0.542109459701693
"51" 1 1 1 51 1 0.97038899979787
"52" 1 1 1 52 1 0.438956468889257
"53" 1 1 1 53 1 1.08519028235576
"54" 1 1 1 54 1 0.838919124222128
"55" 1 1 1 55 1 1.8286960679742
"56" 1 1 1 56 1 0.835650371435564
"57" 1 1 1 57 1 0.460050228279782
